Study unique ID*,Biological material ID* ,Common material name*,Genus,Species,Infraspecific name,Biological material preprocessing,"Material source ID (Holding institute/stock centre, accession)",Material source DOI,Material source latitude,Material source longitude,Material source description
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,5_34,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00016,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,5_42,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00017,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,7_50,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00018,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,7_65,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00019,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,8_73,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00020,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,9_10,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00021,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,9_52,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00022,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,9_69,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00023,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,12_1,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00024,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,12_37,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00025,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,12_40,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00026,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,12_41,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00027,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,12_66,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00028,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,13_23,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00029,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,13_33,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00030,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20220408,13_60,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00031,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,14_5,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00032,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20220408,14_13,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00033,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,14_39,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00034,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,14_73,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00035,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,15_15,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00036,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,16_92,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00037,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20220408,17_59,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00038,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,17_62,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00039,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,18_22,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00040,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,18_27,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00041,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,19_30,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00042,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,19_36,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00043,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,19_37,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00044,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,20_17,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00045,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,20_26,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00046,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,20_44,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00047,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,20_45,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00048,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,21_10,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00049,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,21_12,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00050,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,21_34,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00051,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,22_22,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00052,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,22_36,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00053,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,23_43,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00054,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,23_44,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00055,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
"SSSA_MAIZE_GT, IPK_MAIZE_PT_20220408",24_26,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00056,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,25_3,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00057,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,25_5,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00058,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,25_17,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00059,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,25_20,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00060,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,26_9,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00061,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,26_23,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00062,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,27_50,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00063,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20210318; IPK_MAIZE_PT_20220408,28_6,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00064,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,28_21,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00065,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,28_50,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00066,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20220408,29_4,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00067,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; WU_MAIZE_PT; IPK_MAIZE_PT_20220408,29_30,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00068,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
SSSA_MAIZE_GT; IPK_MAIZE_PT_20220408,31_15,,Zea, mays,NA,Recombinant Inbred Line obtained after at least 7 selfing generations,SSA_00069,10.1186/s13059-015-0716-z,NA,NA,Recombinant Inbred Line (RIL) belongin to a 8-way Multi-parent Advanced Generation InterCrosses (MAGIC) maize population; the common material name stands for #subfamily_#line
